Timestamp,Ax,Ay,Az,Gx,Gy,Gz
14:48:59.917945,1.09,1.60,1.60,256.55,-161.52,267.10
14:49:00.020271,0.82,1.62,1.62,16.01,109.12,37.41
14:49:00.126221,0.67,1.66,1.66,-2.62,120.03,-92.93
14:49:00.228486,0.45,1.61,1.61,21.49,46.77,-138.26
14:49:00.331505,0.24,1.54,1.54,22.44,156.19,-94.76
14:49:00.433356,0.05,1.55,1.55,-9.21,69.18,-8.54
14:49:00.545469,0.35,1.62,1.62,-96.34,-20.98,113.57
14:49:00.646162,0.42,1.57,1.57,-139.88,-7.65,70.49
14:49:00.754174,-0.01,1.65,1.65,-182.87,-19.27,137.04
14:49:00.859675,-0.37,2.09,2.09,-277.10,-143.72,399.30
14:49:00.958321,1.30,1.36,1.36,-133.90,25.46,21.34
14:49:01.060295,0.63,1.04,1.04,70.06,59.45,-261.28
14:49:01.167190,0.81,1.13,1.13,128.87,103.23,-451.55
14:49:01.273808,0.28,1.43,1.43,123.02,166.43,-463.23
14:49:01.375996,0.01,1.44,1.44,75.27,52.35,-62.44
14:49:01.478790,-2.00,2.93,2.93,56.25,-432.80,61.16
14:49:01.585420,0.30,2.09,2.09,-275.34,284.79,63.99
14:49:01.687791,0.73,1.65,1.65,76.98,-175.79,81.80
14:49:01.789831,0.52,1.68,1.68,10.43,-70.34,10.49
14:49:01.896316,0.63,1.64,1.64,-4.76,-15.67,-37.16
14:49:01.998589,0.35,1.54,1.54,-6.10,68.48,-103.90
14:49:02.105241,0.01,1.55,1.55,-138.29,43.17,34.09
14:49:02.211579,-0.03,2.18,2.18,-163.41,-113.54,218.05
14:49:02.314696,0.68,1.62,1.62,-183.90,-217.56,227.13
14:49:02.417043,0.77,1.32,1.32,-62.84,152.62,25.70
14:49:02.522991,0.59,1.31,1.31,118.23,189.94,-93.11
14:49:02.624970,0.53,1.26,1.26,95.52,39.88,-220.46
14:49:02.727764,0.45,1.33,1.33,88.14,30.18,-371.25
14:49:02.834436,0.35,1.46,1.46,76.86,-4.24,-177.04
14:49:02.936830,0.44,1.30,1.30,87.50,13.29,134.51
14:49:03.043090,-1.08,1.38,1.38,-755.09,6.28,867.77
14:49:03.146051,0.67,1.48,1.48,128.54,46.74,380.34
14:49:03.248581,0.97,1.65,1.65,91.43,48.60,99.73
14:49:03.354683,0.84,1.60,1.60,26.04,59.57,-30.79
